,District,Member,Party,Prior experience,Education,Assumed office,Residence,Birth_date
194,Massachusetts,Seth Moulton,Democratic,"Businessman
Activist
U.S. Marine Corps Captain","Harvard University (BS, MBA, MPP)",2015,Salem,43
195,Massachusetts,Ayanna Pressley,Democratic,Boston City Council,Boston University,2019,Boston,48
196,Massachusetts,Stephen F. Lynch,Democratic,"Massachusetts Senate
Massachusetts House of Representatives","Wentworth Institute of Technology (BS)
Boston College (JD)
Harvard University (MPA)",2001 (special),Boston,67
197,Massachusetts,Bill Keating,Democratic,"Massachusetts House of Representatives
Massachusetts Senate
Norfolk County District Attorney","Boston College (BA, MBA)
Suffolk University (JD)",2011,Bourne,70
198,Michigan,Jack Bergman,Republican,U.S. Marine Corps Lieutenant General,"Gustavus Adolphus College (BA)
University of West Florida (MBA)",2017,Watersmeet,75
199,Michigan,Bill Huizenga,Republican,Michigan House of Representatives,Calvin College (BA),2011,Holland,53
200,Michigan,Peter Meijer,Republican,Businessman,"United States Military Academy
Columbia University (BA)
New York University (MBA)",2021,Grand Rapids,34
201,Michigan,John Moolenaar,Republican,"Michigan Senate
Michigan House of Representatives","Hope College (BS)
Harvard University (MPA)",2015,Midland,61
202,Michigan,Dan Kildee,Democratic,Genesee County Treasurer,"University of Michigan–Flint
Central Michigan University (BS)",2013,Flushing,64
203,Michigan,Fred Upton,Republican,U.S. government administrator,University of Michigan (BA),1987,St. Joseph,69
204,Michigan,Tim Walberg,Republican,"U.S. House
Michigan House of Representatives","Western Illinois University
Moody Bible Institute
Taylor University (BA)
Wheaton College, Illinois (MA)",2011,Tipton,71
205,Michigan,Elissa Slotkin,Democratic,Assistant Secretary of Defense for International Security Affairs,"Cornell University (BA)
Columbia University (MA)",2019,Holly,46
206,Michigan,Andy Levin,Democratic,Attorney,"Williams College (BA)
University of Michigan, Ann Arbor (MA)
Harvard University (JD)",2019,Bloomfield Township,62
207,Michigan,Lisa McClain,Republican,Businesswoman,"Lansing Community College
Northwood University (BA)",2021,Bruce,56
208,Michigan,Haley Stevens,Democratic,Presidential Task Force on the Auto Industry,"American University (BA, MA)",2019,Rochester Hills,39
209,Michigan,Debbie Dingell,Democratic,"President of the General Motors Foundation, Wayne State University Board of Governors, Lobbyist","Georgetown University (BS, MS)",2015,Dearborn,68
210,Michigan,Rashida Tlaib,Democratic,Michigan House of Representatives,"Wayne State University (BA)
Thomas M. Cooley Law School (JD)",2019,Detroit,46
211,Michigan,Brenda Lawrence,Democratic,Mayor of Southfield,"University of Detroit Mercy
Central Michigan University (BA)",2015,Southfield,67
212,Minnesota,Brad Finstad,Republican,"Director of USDA Rural Development for Minnesota
Minnesota House of Representatives",University of Minnesota (BS),2022 (special),New Ulm,46
213,Minnesota,Angie Craig,Democratic,"Medical technology executive
Reporter",University of Memphis (BA),2019,Prior Lake,50
214,Minnesota,Dean Phillips,Democratic,Businessman,"Brown University (BA)
University of Minnesota (MBA)",2019,Deephaven,53
215,Minnesota,Betty McCollum,Democratic,"North St. Paul City Council
Minnesota House of Representatives",St. Catherine University (BA),2001,Saint Paul,68
216,Minnesota,Ilhan Omar,Democratic,Minnesota House of Representatives,North Dakota State University (BA),2019,Minneapolis,39
