name,playcount,listeners,url
Freddie Gibbs,45164766,709772,https://www.last.fm/music/Freddie+Gibbs
Chase Atlantic,37084769,613154,https://www.last.fm/music/Chase+Atlantic
Lil Yachty,24151041,646518,https://www.last.fm/music/Lil+Yachty
Blackbear,38249679,973073,https://www.last.fm/music/Blackbear
Lauv,43466918,972548,https://www.last.fm/music/Lauv
Dayglow,15669087,688057,https://www.last.fm/music/Dayglow
Aphex Twin,108185091,1933547,https://www.last.fm/music/Aphex+Twin
d4vd,3052001,178845,https://www.last.fm/music/d4vd
Eyedress,12920710,606642,https://www.last.fm/music/Eyedress
Mazzy Star,31877918,1264037,https://www.last.fm/music/Mazzy+Star
TOMORROW X TOGETHER,140908368,441820,https://www.last.fm/music/TOMORROW+X+TOGETHER
Bee Gees,35108910,2076078,https://www.last.fm/music/Bee+Gees
Mariah Carey,131520783,3178193,https://www.last.fm/music/Mariah+Carey
Tory Lanez,25101185,702474,https://www.last.fm/music/Tory+Lanez
The Police,59107864,2871997,https://www.last.fm/music/The+Police
Summer Walker,30910237,638341,https://www.last.fm/music/Summer+Walker
The Clash,101375150,2893210,https://www.last.fm/music/The+Clash
The Lumineers,47718075,1668066,https://www.last.fm/music/The+Lumineers
Surf Curse,13617289,662534,https://www.last.fm/music/Surf+Curse
Joy Division,125073426,2457004,https://www.last.fm/music/Joy+Division
Machine Gun Kelly,56948530,1027961,https://www.last.fm/music/Machine+Gun+Kelly
Gwen Stefani,44095574,2812529,https://www.last.fm/music/Gwen+Stefani
Bladee,122926748,413329,https://www.last.fm/music/Bladee
Nas,74228166,2437371,https://www.last.fm/music/Nas
Duster,30632778,459068,https://www.last.fm/music/Duster
JPEGMAFIA,64622741,547036,https://www.last.fm/music/JPEGMAFIA
Benny Blanco,22113204,734228,https://www.last.fm/music/Benny+Blanco
P!nk,89312773,3111761,https://www.last.fm/music/P%21nk
Yung Lean,60707365,623320,https://www.last.fm/music/Yung+Lean
Lord Huron,22780521,998611,https://www.last.fm/music/Lord+Huron
NAV,26125844,592417,https://www.last.fm/music/NAV
Frank Sinatra,89112928,3053954,https://www.last.fm/music/Frank+Sinatra
Earl Sweatshirt,71441919,876947,https://www.last.fm/music/Earl+Sweatshirt
Depeche Mode,196692351,3145402,https://www.last.fm/music/Depeche+Mode
VACATIONS,9644792,479834,https://www.last.fm/music/VACATIONS
Logic,55487142,1016121,https://www.last.fm/music/Logic
M83,100012797,2458621,https://www.last.fm/music/M83
Elvis Presley,91672447,2996975,https://www.last.fm/music/Elvis+Presley
The Offspring,144593094,3357479,https://www.last.fm/music/The+Offspring
Big Sean,36401937,2018000,https://www.last.fm/music/Big+Sean
Usher,50461533,3309350,https://www.last.fm/music/Usher
The Beach Boys,98251962,3017620,https://www.last.fm/music/The+Beach+Boys
ScHoolboy Q,39380135,1136877,https://www.last.fm/music/ScHoolboy+Q
Car Seat Headrest,60595766,665610,https://www.last.fm/music/Car+Seat+Headrest
Pusha T,34921374,1019651,https://www.last.fm/music/Pusha+T
A BOOGIE WIT DA HOODIE,33124792,649436,https://www.last.fm/music/A+BOOGIE+WIT+DA+HOODIE
New Order,73410998,2273029,https://www.last.fm/music/New+Order
Loona,72978859,573809,https://www.last.fm/music/Loona
FKA twigs,54956257,954977,https://www.last.fm/music/FKA+twigs
Korn,160521011,2934675,https://www.last.fm/music/Korn
Stevie Wonder,59550419,2735649,https://www.last.fm/music/Stevie+Wonder
Miguel,27067020,1327617,https://www.last.fm/music/Miguel
Metro Boomin,19142769,567592,https://www.last.fm/music/Metro+Boomin
Lewis Capaldi,21334696,775420,https://www.last.fm/music/Lewis+Capaldi
The Cranberries,71950434,2788443,https://www.last.fm/music/The+Cranberries
