name,duration,playcount,listeners,mbid,url,artist
Brandy (You're A Fine Girl),0,1897885,216713,,"https://www.last.fm/music/Harry+Styles/_/Girl+Crush+-+Recorded+at+Metropolis+Studios,+London","{'name': 'Harry Styles', 'mbid': '', 'url': 'https://www.last.fm/music/Harry+Styles'}"
The Recipe - Bonus Track,0,2254941,261729,,https://www.last.fm/music/Doja+Cat/_/Payday+(feat.+Young+Thug),"{'name': 'Doja Cat', 'mbid': '5df62a88-cac9-490a-b62c-c7c88f4020f4', 'url': 'https://www.last.fm/music/Doja+Cat'}"
Unfair,0,970614,83150,,"https://www.last.fm/music/King+Von/_/Crazy+Story,+Pt.+3","{'name': 'King Von', 'mbid': '', 'url': 'https://www.last.fm/music/King+Von'}"
Amnesia,0,79389,23259,,https://www.last.fm/music/Blood+Orange/_/Something+You+Know,"{'name': 'Blood Orange', 'mbid': 'e43daa78-3cf3-4cf9-bc27-af4d4e675a02', 'url': 'https://www.last.fm/music/Blood+Orange'}"
Me & U,0,1018245,77348,,https://www.last.fm/music/Juice+WRLD/_/Sometimes,"{'name': 'Juice WRLD', 'mbid': '', 'url': 'https://www.last.fm/music/Juice+WRLD'}"
223's (feat. BabyTron),0,614745,72908,,https://www.last.fm/music/BLACK+MIDI/_/Welcome+to+Hell,"{'name': 'BLACK MIDI', 'mbid': '', 'url': 'https://www.last.fm/music/BLACK+MIDI'}"
My Choppa Hate Niggas,0,8362939,1083504,cd4f354c-63a5-469b-932f-0c38aeaeeea3,https://www.last.fm/music/Arctic+Monkeys/_/Dancing+Shoes,"{'name': 'Arctic Monkeys', 'mbid': 'ada7a83c-e3e1-40f1-93f9-3e73dbc9298a', 'url': 'https://www.last.fm/music/Arctic+Monkeys'}"
Mind Over Matter,0,420354,39138,,https://www.last.fm/music/Ken+Carson/_/Murda+Musik+(feat.+Destroy+Lonely),"{'name': 'Ken Carson', 'mbid': '', 'url': 'https://www.last.fm/music/Ken+Carson'}"
20 Ligações,274,1838793,222314,d4e5e60d-fe0d-4282-99e9-4b4a9c4edc67,https://www.last.fm/music/Clams+Casino/_/I%27m+God,"{'name': 'Clams Casino', 'mbid': '772a0eb3-fe31-4a08-b583-690296f44900', 'url': 'https://www.last.fm/music/Clams+Casino'}"
RoboCop,242,1363481,196355,690739a7-dbdd-4ffa-bc09-32272854de9f,https://www.last.fm/music/J.+Cole/_/January+28th,"{'name': 'J. Cole', 'mbid': '875203e1-8e58-4b86-8dcb-7190faf411c5', 'url': 'https://www.last.fm/music/J.+Cole'}"
Lotion,248,2815621,512527,1eea9d2a-16e9-4543-b07e-6480f4cd5904,https://www.last.fm/music/Sonic+Youth/_/Kool+Thing,"{'name': 'Sonic Youth', 'mbid': 'be04c6a7-f7e8-4236-8124-3883d05eb259', 'url': 'https://www.last.fm/music/Sonic+Youth'}"
She Moves in Her Own Way,157,1321406,193369,a6718540-88f8-46e2-8243-f0e5372a0f0f,https://www.last.fm/music/Mac+Miller/_/Kool+Aid+&+Frozen+Pizza,"{'name': 'Mac Miller', 'mbid': 'a0e8a1b1-5f8f-475a-a253-17415c17d0ff', 'url': 'https://www.last.fm/music/Mac+Miller'}"
IDGAF (with blackbear),0,1152537,123686,,https://www.last.fm/music/Tee+Grizzley/_/From+the+D+to+the+A+(feat.+Lil+Yachty),"{'name': 'Tee Grizzley', 'mbid': '', 'url': 'https://www.last.fm/music/Tee+Grizzley'}"
Mona Lisa (feat. Kendrick Lamar),308,4228799,585163,bcde755b-0d7d-4d6e-a20e-1364b2800ebd,https://www.last.fm/music/Madonna/_/Frozen,"{'name': 'Madonna', 'mbid': '79239441-bfd5-4981-a70c-55c3f15c1287', 'url': 'https://www.last.fm/music/Madonna'}"
Make A Wish (Birthday Song),0,2415862,106784,,https://www.last.fm/music/TOMORROW+X+TOGETHER/_/Ghosting,"{'name': 'TOMORROW X TOGETHER', 'mbid': '', 'url': 'https://www.last.fm/music/TOMORROW+X+TOGETHER'}"
